wl,data,model_comp05,model_cool05,model_hot05,model_comp50,model_cool50,model_hot50,model_comp95,model_cool95,model_hot95
16927.759844400112,0.23905269410606772,0.23944225237012318,0.0065905484939188805,0.2328517038762086,0.24052985037047095,0.030153235279279798,0.21037661509119546,0.2371414473632364,0.04905391330444357,0.18808753405879672
16927.869456778946,0.24444429348492733,0.2394049780310448,0.006594683935337601,0.2328102940957115,0.24051343856030089,0.030161657715479816,0.21035178084482536,0.23716333481678042,0.049107736611728674,0.18805559820505563
16927.97905807617,0.24356193596209794,0.23936707470081367,0.006596151891747219,0.23277092280907075,0.24049227962082015,0.03016197248534937,0.2103303071354751,0.2371510006699273,0.04912634728859997,0.18802465338133123
16928.088648298195,0.2419355482373897,0.23933964388066487,0.006596219051794301,0.23274342482887486,0.24048438320171028,0.030159995630974545,0.21032438757074004,0.23713270586485274,0.0491282683532437,0.18800443751161294
16928.19822745145,0.24736840288762063,0.23933667756620924,0.0065959423943407845,0.23274073517187274,0.2405004765704905,0.030158243411746888,0.21034223315874792,0.23712942188888633,0.04912294014116922,0.188006481747721
16928.307795542318,0.24706305544303472,0.2393621474723233,0.006595479898771039,0.23276666757355655,0.2405317597584598,0.03015501015791525,0.21037674960054886,0.2371342005705748,0.049104088885104535,0.18803011168547415
16928.417352577246,0.24718218281473375,0.23940350735166846,0.006594163413535477,0.23280934393813726,0.24056796794354113,0.03014626389723819,0.21042170404630725,0.23712274676731931,0.04905640542382381,0.1880663413434994
16928.52689856263,0.24682067060820875,0.23944472679953943,0.006590936410591097,0.23285379038895263,0.24061245597572178,0.030128451409033977,0.21048400456669208,0.23707953878485605,0.04896599959752503,0.18811353918733492
16928.636433504904,0.24463589090531898,0.239483699658369,0.006585090476684979,0.2328986091816883,0.24065615270863602,0.03010139659082002,0.2105547561178203,0.23700538396641577,0.04883358066988325,0.1881718032965364
16928.745957410472,0.24277945329727668,0.2395239004625083,0.006577248855804958,0.23294665160670763,0.24067708409795796,0.03006810994783695,0.2106089741501253,0.23690724510482603,0.048686059717101486,0.18822118538772845
16928.85547028577,0.24436231649657844,0.23955130601910038,0.006569151508892796,0.23298215451021187,0.24067641207983628,0.03003402257343808,0.2106423895064025,0.23681051487189758,0.04855779512909418,0.1882527197428073
16928.964972137208,0.24116269427166243,0.23955528118792774,0.006562377948271467,0.23299290323966057,0.2406512811063364,0.030004711737917876,0.21064656936842283,0.23673757253556368,0.04847647394187347,0.1882610985936941
16929.074462971217,0.245201764705827,0.2395388398972951,0.006557902499163144,0.23298093739813625,0.24060158592088654,0.02998376154348217,0.21061782437740867,0.2366966106571452,0.048455658838924345,0.18824095181822476
16929.183942794214,0.2413127149890562,0.23951587293098364,0.0065560262461796135,0.23295984668480832,0.2405508230161668,0.029973667104998446,0.21057715591117263,0.23670091338798097,0.048493063722211294,0.18820784966577356
16929.293411612623,0.24039604733259284,0.23950149047677086,0.006556453878212235,0.23294503659856292,0.2405265981371114,0.029975952321122927,0.21055064581599278,0.2367621654944954,0.048579328702310576,0.18818283679218872
16929.402869432877,0.24381377708850208,0.2394943407514078,0.00655842747717473,0.23293591327423735,0.24053776623610132,0.029989516696589023,0.2105482495395166,0.2368757058696847,0.04870065415622157,0.18817505171346702
16929.512316261407,0.2354124144490796,0.23947992753466393,0.006560933091068486,0.23291899444359973,0.24056184057896307,0.030009775241379183,0.21055206533758816,0.23701229777991945,0.048840070020334275,0.18817222775958906
16929.621752104627,0.23942081432921858,0.2394490233662201,0.006563019849723048,0.23288600351650135,0.24056791080481027,0.03003160516828364,0.21053630563653092,0.237136939897343,0.0489833239251882,0.18815361597215868
16929.73117696898,0.24486920918636118,0.23940525575826307,0.006563980120030787,0.2328412756382366,0.24055405133680188,0.030052939733459343,0.21050111160334684,0.23724204999104426,0.049124347954405664,0.1881177020366425
