HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457131.79132,2015-04-19.2900081,ba,1.74,16.130,13.318,0.016,18.062,0.273,V
2457131.79291,2015-04-19.2915996,ba,1.68,16.149,13.284,0.016,18.631,0.269,V
2457132.76849,2015-04-20.2672809,ba,1.69,16.154,13.339,0.016,17.715,0.267,V
2457132.77000,2015-04-20.2687847,ba,1.68,16.159,13.337,0.016,17.754,0.266,V
2457135.77209,2015-04-23.2711645,ba,1.65,16.139,13.299,0.016,18.384,0.270,V
2457135.77365,2015-04-23.2727218,ba,1.62,16.042,13.329,0.018,17.885,0.296,V
2457144.77208,2015-05-02.2720197,ba,1.77,15.821,13.310,0.022,18.191,0.362,V
2457144.77370,2015-05-02.2736430,ba,1.77,15.597,13.325,0.027,17.938,0.444,V
2457145.74529,2015-05-03.2453243,ba,1.65,15.591,13.356,0.028,17.432,0.446,V
2457145.74685,2015-05-03.2468908,ba,1.64,15.697,13.404,0.027,16.690,0.405,V
2457148.74263,2015-05-06.2429599,ba,1.75,16.043,13.375,0.019,17.134,0.295,V
2457148.74421,2015-05-06.2445424,ba,1.76,16.025,13.342,0.019,17.661,0.299,V
2457152.77000,2015-05-10.2707296,ba,2.48,15.960,13.302,0.019,18.325,0.319,V
2457152.77504,2015-05-10.2757631,ba,2.29,15.972,13.320,0.019,18.035,0.315,V
2457152.77667,2015-05-10.2773967,ba,2.24,16.027,13.346,0.019,17.598,0.300,V
2457155.73487,2015-05-13.2358811,ba,1.85,14.289,13.494,0.106,15.364,1.479,V
2457155.73641,2015-05-13.2374204,ba,1.78,14.735,13.373,0.063,17.175,0.981,V
2457283.13151,2015-09-17.6357862,ba,1.68,15.414,13.345,0.033,17.622,0.527,V
2457283.13244,2015-09-17.6367144,ba,1.68,15.230,13.363,0.039,17.317,0.622,V
2457283.13334,2015-09-17.6376197,ba,1.65,15.214,13.376,0.040,17.123,0.633,V
2457285.14160,2015-09-19.6457437,ba,1.87,14.399,13.474,0.094,15.633,1.337,V
2457285.14253,2015-09-19.6466672,ba,2.03,99.990,99.990,99.990,99.990,99.990,V
2457285.14343,2015-09-19.6475718,ba,2.03,14.363,13.419,0.092,16.453,1.386,V
2457297.11282,2015-10-01.6160440,ba,1.67,15.578,13.361,0.029,17.360,0.454,V
2457297.11407,2015-10-01.6172895,ba,1.64,15.582,13.016,0.021,23.855,0.455,V
2457297.11532,2015-10-01.6185428,ba,1.68,15.765,13.349,0.024,17.552,0.384,V
2457308.07988,2015-10-12.5821418,ba,1.67,16.023,13.334,0.018,17.799,0.302,V
2457308.08113,2015-10-12.5833946,ba,1.63,15.939,13.299,0.019,18.380,0.326,V
2457308.08239,2015-10-12.5846523,ba,1.64,15.920,13.308,0.020,18.227,0.330,V
2457309.09449,2015-10-13.5966581,ba,1.64,16.118,13.351,0.017,17.519,0.277,V
2457309.09574,2015-10-13.5979105,ba,1.62,16.062,13.300,0.017,18.366,0.292,V
2457309.09700,2015-10-13.5991666,ba,1.68,16.004,13.338,0.019,17.719,0.308,V
2457310.09397,2015-10-14.5960449,ba,1.74,16.089,13.297,0.017,18.410,0.284,V
2457310.09522,2015-10-14.5972969,ba,1.72,16.082,13.367,0.018,17.269,0.285,V
2457310.09646,2015-10-14.5985413,ba,1.72,15.931,13.360,0.021,17.375,0.327,V
2457311.08972,2015-10-15.5917071,ba,1.67,16.025,13.407,0.020,16.634,0.300,V
2457311.09098,2015-10-15.5929597,ba,1.65,16.010,13.330,0.019,17.856,0.305,V
2457311.09223,2015-10-15.5942136,ba,1.67,16.152,13.325,0.016,17.932,0.268,V
2457314.07274,2015-10-18.5744378,ba,1.66,16.135,13.420,0.018,16.444,0.272,V
2457314.07399,2015-10-18.5756932,ba,1.65,15.951,13.399,0.021,16.753,0.322,V
2457314.07524,2015-10-18.5769482,ba,1.65,15.977,13.427,0.021,16.332,0.313,V
2457315.07871,2015-10-19.5803171,ba,1.65,15.850,13.467,0.024,15.749,0.354,V
2457315.07960,2015-10-19.5812111,ba,1.68,15.843,13.386,0.023,16.964,0.356,V
2457315.08050,2015-10-19.5821038,ba,1.71,15.859,13.379,0.022,17.077,0.351,V
2457317.07247,2015-10-21.5738869,ba,1.67,15.795,13.391,0.024,16.882,0.371,V
2457317.07339,2015-10-21.5748025,ba,1.63,15.801,13.407,0.024,16.634,0.369,V
2457317.07428,2015-10-21.5756936,ba,1.65,15.710,13.404,0.026,16.688,0.401,V
2457318.08032,2015-10-22.5816409,ba,1.66,15.819,13.392,0.023,16.861,0.364,V
2457318.08126,2015-10-22.5825802,ba,1.70,15.971,13.343,0.019,17.648,0.316,V
2457318.08217,2015-10-22.5834827,ba,1.67,15.857,13.367,0.022,17.253,0.350,V
2457320.04844,2015-10-24.5495657,ba,1.61,15.638,13.411,0.028,16.575,0.428,V
2457320.04969,2015-10-24.5508163,ba,1.65,15.892,13.358,0.021,17.409,0.342,V
2457320.05094,2015-10-24.5520684,ba,1.65,15.708,13.410,0.026,16.583,0.402,V
2457322.04390,2015-10-26.5448320,ba,1.67,15.506,13.337,0.030,17.735,0.484,V
2457322.04515,2015-10-26.5460804,ba,1.70,15.474,13.354,0.031,17.479,0.499,V
2457322.04641,2015-10-26.5473370,ba,1.75,15.384,13.428,0.036,16.318,0.541,V
2457324.04712,2015-10-28.5478491,ba,1.71,15.418,13.316,0.032,18.098,0.524,V
2457324.04837,2015-10-28.5491038,ba,1.68,15.325,13.358,0.036,17.400,0.571,V
2457324.04962,2015-10-28.5503535,ba,1.75,15.403,13.396,0.035,16.814,0.532,V
2457333.15869,2015-11-06.6585153,ba,1.75,14.990,13.450,0.053,15.989,0.776,V
2457334.14839,2015-11-07.6481156,ba,2.08,15.828,13.324,0.022,17.955,0.360,V
2457335.02443,2015-11-08.5240674,ba,1.74,15.936,13.302,0.019,18.324,0.327,V
2457335.02568,2015-11-08.5253237,ba,1.74,15.982,13.348,0.019,17.579,0.313,V
2457335.02694,2015-11-08.5265828,ba,1.70,16.062,13.352,0.018,17.498,0.292,V
2457342.98914,2015-11-16.4879921,ba,1.73,15.826,13.346,0.022,17.594,0.361,V
2457342.99005,2015-11-16.4889013,ba,1.80,15.835,13.365,0.023,17.291,0.357,V
2457342.99094,2015-11-16.4897938,ba,1.67,15.834,13.389,0.023,16.922,0.359,V
2457344.98632,2015-11-18.4849834,ba,1.69,15.883,13.340,0.021,17.705,0.342,V
2457344.98723,2015-11-18.4858873,ba,1.70,15.912,13.337,0.020,17.752,0.334,V
2457344.98813,2015-11-18.4867931,ba,1.68,15.839,13.336,0.022,17.762,0.356,V
2457360.09511,2015-12-03.5923731,ba,1.64,16.092,13.377,0.018,17.102,0.284,V
2457360.09636,2015-12-03.5936166,ba,1.63,16.112,13.304,0.016,18.297,0.278,V
